title,body,source
Kildare’s Irish Pub closes due to collegiate housing project,"Kildare’s Irish Pub served its last drink.

The company announced Friday on its Facebook page that it closed due to the construction of a mixed-use collegiate housing project.

“Unfortunately, due to construction beginning we have had to close earlier than expected effective immediately so demolition can begin on our building,” the Facebook post said. “We have loved being here with you for the last five and a half years, Penn State. You are an amazing group of charitable, smart and incredibly fun people and we are grateful to have served you. We are ... going to miss you all.”

Kildare’s general manager Lincoln Stuyvesant told the Centre Daily Times in November that the pub’s lease ran into 2017. He believed that they would stay at 538 E. College Ave. through at least 2016.

The prime real estate on the east side of downtown State College was sold for $7.5 million to Chicago developers that will build a 12-story structure. CA Student Living bought the property from Jeff Haas, who advocated for collegiate housing overlay projects to be developed on the 500 block of East College Avenue. The company specializes in investment, development and management in student housing.

The developers could reach the maximum height allowed — which was 65 feet until July 6 — if they design a building with commercial space on the first floor and two floors of mixed graduate and professional housing. They also have to draw up sustainable features that meet Leadership in Energy and Environmental Design standards.

Haas told the CDT in an email he wanted to develop the property but couldn’t pass up CA Student Living’s offer.

“It was always our intention to develop the property,” he said. “After the collegiate housing overlay was approved we were contacted by CA Student Living. (Due to) the combination of the financial opportunity and that CA shared our vision for a high quality multiuse building for the property we thought it was in our best interest and the best interest of the State College borough for continued downtown development of high quality, multiuse buildings ... to sell the property.”",Centre Daily Times
"Development, budget among top issues
Newspaper","For the Centre Region and the municipalities therein, 2015 marked a year of development.

Whether or not that development is a good thing remains in the opinions of the residents and the future of the region.

Carrying over from Planning Commission discussions in 2014, the State College Borough Council prolonged holding a final vote on the collegiate housing overlay amendment. The overlay, in part proposed by the former owner of Kildare’s Irish Pub, sought to motivate developers to create better designs and allowed flexibility in building height, parking requirements and floor area ratios.

A public hearing in April saw a strong residential lean against the overlay, with many residents questioning the need for more student housing. Residents also voiced their concerns about increased traffic in the area.

A decision on the overlay finally came in July with a 6-1 vote in favor of the amendment. While residents again voiced their opposition to the amendment, President Jim Rosenberger said the proposal puts density at the border of town and gown where it should be.

Things remained quiet regarding the overlay until December, when CA Ventures proposed the RISE — a 12-story, 182-unit commercial and residential development that would overtake Kildare’s and the neighboring Colony Apartments. the conditional use permit for the RISE on Dec. 21.

Meanwhile, in Ferguson Township, residents railed against a development they said threatened the very ecology of the region.

Opposition against the Cottages at State College, a 268-unit housing project by Toll Brothers slated to take in more than 1,000 occupants, ramped up in May. Residents were wary about the development’s proximity to the Harter-Thomas wellfields, which provides drinking water to the State College Borough Water Authority.

Submission deadlines for a final plan from the developer continued to be pushed back until November, when by the Board of Supervisors to the boos and cries of “shame” from the residents in attendance.

PennTerra Engineering President John Sepp told the board the plan was “one of the cleanest plans I’ve ever presented to the Board of Supervisors for a job this size.”

But the issue of the Cottages will continue into the new year, as group calling itself the Nittany Valley Water Coalition filed suit on Dec. 15 against the township supervisors, seeking to overturn the decision to approve the development plan. The issue is also likely to be revisited by the incoming supervisors in January.

Residents in College Township wondered “what stinks?” in March when an “unbearable” odor was found emanating from the nearby University Area Joint Authority water treatment facility.

The UAJA had kicked off an odor-control study in August 2014, collecting air samples and inviting residents to submit their own off-site odor observations. UAJA Executive Director Cory Miller cited maintenance at the compost building as the cause of the recent changes in odor.

In May, the UAJA detailing its current findings into the study, saying changes are being made around the facility but permanent solutions likely won’t be seen until 2016.

“We’ve made an awful lot of operational changes to various processes here, and it seems to be making a significant difference, “ Miller said. “We still have some other things we have to work on, but I think we’re making great progress on those changes before the final report is done.”

Regionally, future cyclists should find travel from one end of the Centre Region to the other a bit easier thanks to the Centre Region bicycle plan, which frames the paths and connections throughout the community.

Creation of the plan was sparked by the League of American Bicyclists, which named the State College region as a bronze-level bicycling area, Centre Region Planning Agency senior transportation planner Trish Meek said. As part of the award, the league provided feedback to the region that recommended the development of a comprehensive regional bike program.

After about a year of collecting input from municipal officials and cyclists themselves, a plan was presented to the Centre Region Council of Governments, who . The plan now identifies critical gaps in the regional bike plan and seeks to fill the gaps with logical connections while increasing the recognition that bikes are a legitimate form of transportation.

For Centre County itself, budget woes have put the crunch on some county-provided services and threatens to throw the county deeper into debt.

In August, while the state budget was still less than two months late, county commissioners assured residents that the county could weather the lack of state funding. Commissioners cited repeatedly that the county would be financed through December if the budget impasse lasted that long.

Now, as the sixth month of the budget impasse comes to a close, Centre County reserves are running out. The county Youth Service Bureau reported at the beginning of December that surrounding counties are unable to pay providers, putting pressure on the bureau.

A few weeks later, on Dec. 23, a $10 million Tax and Revenue Anticipation Note meant to carry the county financially through February. A tentative county budget was passed a week later.

“There is no good scenario here to adjust how we are going to continue without state funding,” Chairman Steve Dershem said. “I hope that we get back to some level of normalcy in our budgeting cycle, because it’s not fair to anybody.”",Centre Daily Times
Year in review: No shortage of business moves in 2015,"It’s impossible to make a top 10 business stories list.

What follows isn’t in any particular order.

It also isn’t just 10 stories. Some categories are specific to a single story, but most entail a series of stories or similar tales.

Businesses close, open, get sold, developed and bought at an astonishingly fast pace in Centre County. Here were a few of those from 2015.

Businesses go up in flames, vow comebacks

Jim Waite, Robert Khayat and Bob Ricketts have an unfortunate situation in common — each of their businesses caught fire in 2015.

They each said, however, that they would rebound.

Ricketts will Fasta and Ravioli Co. in early 2016 in downtown State College by taking the the place of sister company Good Seed Baking Co. He also plans to reopen his store in Pleasant Gap where a fire damaged it on Christmas Eve.

Waite’s business, Jim’s Garage, and several of his classic cars in Bellefonte were destroyed in January. Khayat’s Penns Mobil burned down in February. All have said they to rebuild.

J.C. Penney closes, Dunham’s signs on as Nittany Mall anchor

The Plano, Texas-based J.C. Penney announced in January that it would 39 stores, including the one in Nittany Mall. The store closed April 4, leaving a void in the mall since.

Dunham’s Sports, however, confirmed in July that it a lease with the mall to take over the space. The deal was made official in May.

The store will open in 2016.

The Autoport owners agree to sell

An to sell The Autoport property and business prompted owners Greg and Lynda Mussi to close its doors Christmas Eve.

They avoided foreclosure with Enterprise Bank since 2014.

South Atherton Real Estate 1, a Pennsylvania limited partnership with the same address as Gregory Welteroth Holdings, will buy The Autoport for about $2.1 million in 2016.

Kildare’s property sold for development

CA Student Living the property where Kildare’s is located for $7.5 million in October.

Previous land owner Jeff Haas advocated for collegiate housing overlay projects to be developed on the 500 block of East College Avenue, and the Chicago based developers at CA Student Living could build an 11 story, 124-foot mixed-use building

It is unclear if the restaurant is in CA Student Living’s plans.

Study reveals growing fitness industry

A deeper look into the fitness industry more fitness-related businesses opening in State College.

A Centre Daily Times study, published in March, identified 31 fitness centers, including gyms, yoga studios and martial arts studios, in and around the State College area. There are 14 businesses that opened prior to 2010 and 17 in the past five years.

Local business owners said increased interest in health has enabled more fitness-related businesses to open.

CBICC, Penn State sign memorandum of agreement

The Chamber of Business and Industry of Centre County and Penn State agreed to in an effort to drive the area’s economy and fortunes of entrepreneurs.

CBICC President Vern Squier and Penn State President Eric Barron touted the partnership in a May announcement.

Under the plan, the university will work with the CBICC to turn Penn State ideas into businesses that stay in the community after the students graduate.

Small businesses matter

And, honestly, it’s not hard to find studies that say small businesses mean more to the local economy.

The CDT focused on small businesses for its annual Business Matters publications in February, publishing stories about how some small businesses in the county have been passed down for multiple , how others are unique and looking into small business trends.

Small businesses are, after all, the of our county.

Mo Valley Medical Building opens

Penn Highlands Healthcare unveiled the 23,000-square-foot Moshannon Valley Community Medical Building in Rush Township in November.

It opened its doors the same month.

The $6 million project near the intersection of North Front and Railroad streets was aided by two grants, one totaling $1.75 million from the state Redevelopment Assistance Capital Program, as well as a $1 million Highmark Community Investment grant.

A&P site bought for development

Win Development, based in Florida, bought the long vacant A&P supermarket property for $2.85 in April.

Patton Township’s Board of Supervisors approved plans for the site in June.

Mattress Firm and Qdoba Mexican Grill will occupy the retail-restaurant space. Vitamin Shoppe and Great Clips will take the dual retail space, and Panda Express will be a stand-alone restaurant.

Snow Shoe pipeline work

Superior Appalachian Pipeline installed 7 miles of pipe in Snow Shoe Township.

The project began in May.

The pipeline was connected to Dominion Transmission Inc.’s interstate pipeline and will likely be connected to Texas Eastern Transmission’s pipeline at a later date. SAP Vice President of Development Ken Magyar said the project was designed to gather and connect wells to the interstate pipeline.

Businesses open, close

If I could go back a year, I would have started a list for this.

Fischer’s on the Diamond, Sowers Harvest Cafe and Poppy and Co. opened eateries. Speedy Furniture, Miska & Reini Goldsmiths and Jewelers and Anthym debuted as retailers.

Others like Mr. Tux, The Gamble Mill and Confer’s Country Market bowed out of business. They are some of the most difficult stories to do, especially the homegrown businesses. Chains like Ruby Tuesday, Chili’s and Eat’n Park also served customers for the last time in Centre County.",Centre Daily Times
Developer seeks permit for collegiate overlay project,"Borough Council is considering a conditional use permit following a presentation proposing a development in the collegiate housing overlay district.

Currently dubbed the “Rise,” the 12-story development seeks to provide commercial and residential space along the southwest corner of the intersection of East College Avenue and High Street. The development would overtake the two properties located at 532 and 538 E. College Ave. — The Colony Apartments and Kildare’s Irish Pub respectively.

CA Ventures submitted the application to request a conditional use permit, senior planner Anne Messner said. The proposal meets overlay conditions, which allow for a maximum building height of 124 feet.

Conditions include its location within the 500 block of East College Avenue, no ground-floor residential use and minimum lot area, she said.

The first two floors will be non-residential use, Messner said, with the remaining floors as residential. Professional and graduate residents are anticipated as the occupants of the first two floors of residential, with multifamily housing for students and inclusionary housing units as the remainder.

According to CA documents, the project would host 182 units with a total of 616 beds.

Inclusionary housing and a sculpted roof allow for an additional 10 feet of building height each, she said, adding an additional floor and a parapet wall and bringing the overall proposed building height to 140 feet. Eighteen units would be set aside as inclusionary housing.

CA Ventures Vice President of Design and Development Dan Hrankowsky said the top eight floors are considered “multifamily,” as CA Ventures has no plans on discriminating who wishes to occupy those floors. However, given the proximity of the building to campus, it very well may end up as student housing.

In addressing the ground floors, he said, it’s mandatory to have residential lobbies and meeting spaces within those non-residential spaces. The remaining area is a balance between service parking and commercial space, providing 100 percent of the required resident parking underground.

Potential retail tenants have already showed interest in the commercial spaces, he said. CA Ventures would be looking at a completion time around summer 2018.

Council showed concern with the idea of mixing families with children and students on the same floor. According to Messner, the inclusionary housing ordinance requires that these units not be clustered into a single location and interspersed throughout the project. However, it does not indicate the number of units on a particular floor.

President Jim Rosenberger said he liked that the project had accessible surface parking as well as underground parking, as well as a room for bicycle storage.

“What I’ve seen will catch people’s eyes coming into town,” he said.

According to borough solicitor Terry Williams, council has 45 days to render a decision regarding the application. Council may attach reasonable conditions to the decision in addition to those expressed in the ordinance.",Centre Daily Times
Developers buy Kildare’s pub property,"Prime real estate on the east side of downtown State College has been sold for $7.5 million to Chicago developers that could build an 11 story, 124-foot mixed-use building.

CA Student Living recently bought 538 E. College Ave. from Jeff Haas, who advocated for collegiate housing overlay projects to be developed on the 500 block of East College Avenue. The company specializes in investment, development and management in student housing.

The developers could reach the maximum height allowed — which was 65 feet until July 6 — if they design a building with commercial space on the first floor, two floors of mixed graduate and professional housing. They also would have to draw up sustainable features that meet the Leadership in Energy and Environmental Design standards.

Haas said in an email he wanted to develop the property, but couldn’t pass up CA Student Living’s offer.

“It was always our intention to develop the property,” he said. “After the collegiate housing overlay was approved we were contacted by CA Student Living. (Due to) the combination of the financial opportunity and that CA shared our vision for a high quality multi-use building for the property we thought it was in our best interest and the best interest of the State College borough for continued downtown development of high quality, multi-use buildings ... to sell the property.”

Haas said he will not be a part of redevelopment of the property and will instead focus on expanding Team Blue, a hand car wash and detail company, through franchising. He founded the company with his son, Jason, in 2008.

“As a CEO and entrepreneur, I am always looking at opportunities,” Haas said. “I really enjoy making things happen.”

CA Student Living chief operating officer J.J. Smith, who is also listed as the company’s media contact, could not immediately be reached for comment.

The property is home to Kildare’s Irish Pub, which had a long-term lease with Haas. The pub’s general manager Lincoln Stuyvesant told the Centre Daily Times in January that if a new building were developed, they’d be invited into the first floor commercial by Haas. It is unclear if the restaurant is in CA Student Living’s plans.

Stuyvesant could not be reached for comment on Friday, and another manager declined comment.

State College Borough Council voted 6-1, with Sarah Klinetob casting the dissenting vote, in July to allow such projects.

Klinetob favored some incentives of possible collegiate housing overlay projects.

She said during council’s July 6 meeting, however, that she was deterred by a pending comprehensive rezoning and the Downtown Master Plan’s indication that the area was predominately students. She suggested that the core of downtown was more suitable for professionals.

Council president James Rosenberger and council member Evan Myers explained their support of such projects during the meeting.

Rosenberger said student density on the block would increase by a small fraction and that council would regret if it turned down the measure.

Myers questioned how the borough could preserve its neighborhoods, stay and pay its bills. He said the borough needed to be worried about its tax base, because council was struggling to balance the budget and needed to explore how to expand it.",Centre Daily Times
State College Borough Council OKs collegiate overlay,"The long-debated collegiate housing overlay proposal passed State College Borough Council Monday with a 6-1 vote in favor of the amendment.

The amendment was drafted in order to incentivize an increase in development capacity along the east end of downtown with discussion focused mainly on the lot containing Kildare’s Irish Pub at 538 E. College Ave.

Councilwoman Sarah Klinetob was the sole dissenting vote.

Under the proposal, several incentives would allow a developer to go beyond the current height maximum in exchange for certain amenities — additional floors of commercial space or environmental considerations would translate into additional stories of residential space.

While community input has been available at several previous council meetings, Mayor Elizabeth Goreham again opened the floor to public comment prior to the vote.

David Stone, a resident of East Foster Avenue, said there was a lost opportunity to bring the community together and develop a more positive vision for the community. Focusing the amendment on just one block sets a bad precedent, he said, adding that the issue should be revisited during a comprehensive rezoning plan.

Highlands Civic Association President Susan Venegoni also said the plan sets a bad precedent in its attempts to equate graduate students to professionals, a longstanding separation in residential housing that she called a “slippery slope.”

Her biggest concern, she said, was the pedestrian and traffic arrangements that still needed to be addressed.

“How much tax revenue is a life worth when people are running across that street?” she said.

Klinetob said that while a lot of good work had been done on the proposal, three points still concerned her — the upcoming comprehensive rezoning project, that the area predominantly consists of students, and that the core of downtown proposal is more highly suggested for professionals.

While she said she didn’t want to assume what the Planning Commission would prepare for the area during comprehensive rezoning, “I had at least enough doubt that this current proposal would not be the same or similar after a comprehensive rezoning effort, and believe that the staff resources proposed may be better directed at ensuring an enhanced professional zoning district in the core.”

Council President Jim Rosenberger said the council could tinker for another year changing small details of the plan, but ultimately, “perfect is the enemy of good.” Looking back four years, the council spent years of discussion and hundreds of thousands of dollars planning exactly what it wanted for the west end, and nothing has happened.

“Holmes-Foster neighborhood was saying what Highlands neighborhood is saying now,” he said. “Mainly, ‘No, no, no. We don’t want more density.’ And yet that proposal would have put density right at the border of town and gown, right where I think it should be.”

Councilman Peter Morris asked to compare the present zoning of the 500 block of East College with the overlay proposal, questioning which one comes closest to giving them what they want for the block.

“It’s clear to me that the overlay wins,” he said.

One of the things that’s not going to change is a downzoning of almost any block in the borough, he said, which would reduce commercial value of the property.

After the vote, council candidate Janet Engeman said if she were to add anything to what was said, it would be to ask how the borough plans to address construction of a new building without closing a portion of East College or High Street, likening it to the current partial closure of South Fraser Street during the construction of the Fraser Centre.

“This isn’t going to help the tax base that much,” Stone said. “It gets to be symbolic — high buildings mean progress, but when you look at it, it’s not going to do that. It’s an immense distraction, but we’re going to have to move on.”",Centre Daily Times
State College Borough Council likely to approve housing overlay,"Borough Council approved a motion to and gave notice of its intent to act on the controversial collegiate housing overlay proposal July 6.

The decision on the hotly debated topic comes after months of discussion dating back to 2014.

The overlay would have the potential to alter building heights and parking spaces, allowing for taller than normally allowed buildings under the current commercial zoning. Building heights could also be increased based on incentives for development, such as adding professional housing and underground parking.

Discussion has focused mainly on the Kildare’s Irish Pub property, located at 538 E. College Ave.

Resident Smita Bharti commented on the overlay, saying she started a change.org petition encouraging the council to vote “no” on the overlay. At press time, the petition had 116 signatures.

Bharti asked the council not to approve the overlay, saying it doesn’t yet know the impact the Metropolitan project will have on the borough before approving what could end up becoming a similar development.

Resident Al Drobka encouraged council members to approve the overlay, saying as buildings get older, this is an opportunity to incentivize development to build new, more energy-efficient buildings.

President Jim Rosenberger said he’s read the comments on Bharti’s petition, saying it’s important to consider the residents’ comments, but there are “a number of misconceptions.”

“For example, I have seen people put forward the idea that this will increase student density in the area,” he said. “Right now, if nothing happens, a seven-story student apartment building can be built in that spot.”

Mixed use buildings with commercial space included with residential tends to be a calming device in populated areas, he said. Leaving the zoning as is would remove those calming techniques.

Population is going to increase in State College, Councilwoman Theresa Lafer said, and the council can’t stop that. It instead becomes a question of where to put students.

“I’m 100 percent certain we can’t house them in the clouds,” she said, “so we have to house them in the borough and surrounding townships.”

Calling the people who own the property “evil developers” doesn’t make sense, she said. Council has evolved in thinking this was not a good idea regarding it as one of the best plans they’ve seen in a while, she said, and when it comes time to vote, she said she hoped council would vote in favor of it.

In other business, planner Meagan Tuttle updated council on the proposed Allen Street Civic District identified during the Planning Commission meeting Thursday.

The Planning Commission will be working with the redevelopment authority on certifying the district for redevelopment, she said. The district includes the properties between Highland Alley, West Foster Avenue, South Fraser Street and South Allen Street.

The commission is also working with Discovery Space to find office and storage space so the museum can remain in its current location during the redevelopment process, she said. It is also negotiating a lease with Penn State to remain as a tenant in the former Verizon Building during this period as well.",Centre Daily Times
State College Borough Council postpones vote on housing overlay,"Action on the proposed Collegiate Housing Overlay ordinance was again postponed Monday by Borough Council until the next voting meeting.

The decision to postpone came after two previous motions for action on the controversial amendment were not passed by the council.

Prior to the motions, council was given a presentation regarding assessed value and taxes paid by student apartments, a request by council members in previous discussions wishing to know the potential earning power of a housing project at 538 E. College Ave., the location of Kildare’s pub and restaurant.

According to Planning Director Ed LeClear, projected taxes and fees were based on a development that bears the most similarity to a project that could be seen at the Kildare’s site — the Legacy Apartments at 456 E. Beaver Ave.

The 75 units at Legacy bring in about $329,000 in taxes and fees, LeClear said, bringing about $75,000 in real estate taxes into the borough. As the parcel is currently zoned, a 30-unit apartment building could be constructed on the site, bringing about $32,000 in real estate taxes. Under the overlay with incentives, that could increase to 47 units, with about $66,000 in real estate taxes.

A full buildout using everything the overlay has to offer, he said, would see 61 units with about $80,000 in real estate taxes coming into the borough.

The Legacy Apartments saw 62 police calls in a one year period, he said. Assuming the overlay building would double that amount of calls, the police would see a 0.45 percent increase in crime, totallying about 67 hours of additional staff time.

Council President Jim Rosenberger’s motion to adopt the overlay ordinance as is died at the table.

Councilwoman Theresa Lafer said earlier that there was no way she could vote yes on an 11-story building, saying she would prefer to return the ordinance to the Planning Commission with recommendations to the commission.

Councilman Tom Daubert suggested that the section proposing an 11-story building be removed from the ordinance. A motion made to remove the conditional uses from the ordinance was voted down.

Property owner Jeff Haas spoke to council, saying he didn’t agree with removing the conditional uses from the ordinance, adding even if his building couldn’t get it done, it was immaterial.

“Give another developer the opportunity to use it,” he said, “and develop a nice building for downtown.”

The board unanimously agreed to postpone deliberation until the next voting meeting, slated for May 18.",Centre Daily Times
State College Borough Council hears feedback on housing overlay plan,"Borough Council has prolonged a decision regarding the hotly debated collegiate housing overlay proposal for at least another three weeks.

After a public hearing Monday, which saw a strong residential lean against the overlay, the council voted unanimously to schedule enactment or further review at its May 4 meeting, during which it could enact the proposal, reject it, send it back to the Planning Commission for further retooling or postpone action for a later meeting.

Planning Director Ed LeClear presented a rundown of the proposal’s history, from the first time it was brought to the board nearly a year ago to its current incarnation.

The overlay would allow for taller buildings to be constructed in the 500 block of East College Avenue through the use of developer incentives to create a more appealing structure for the residents of the building.

The first floor of the building would be required to be a commercial operation, according to the ordinance. Incentives, such as additional parking, graduate or professional housing and appealing building materials would allow for additional floors and wider floor space.

LeClear outlined the residential input the proposal has received, including emails, survey responses and a community Geodeliberations project.

Jeff Haas, who owns the property containing Kildare’s Irish Pub, said the proposal would allow for lot owners to develop attractive, environmentally friendly structures rather than letting the area deteriorate. This helps diversify the downtown population and attract more commercial tenants.

Highlands Civic Association President Susan Venegoni voiced her opposition to the proposal, saying the Highlands receives the highest number of citations than any other neighborhood.

“One thousand, seven hundred and nine units are being built or have been built in this area,” she said. “That’s 4,841 beds. There are also 9,000 rental permits in the borough. ... Do we really need more student housing?”

Borough resident David Stone said pedestrian and vehicle traffic issues haven’t been worked out yet, and a new building would likely not be affordable to students.

Planning Commission President Michael Roeckel spoke as a resident in support of the overlay, saying it was a chance to do something new in the borough.

“We put the plan together so we wouldn’t be getting any more undergrads than before,” he said. “Even with all the incentives and buildout, you’re still only getting seven stories of undergraduates.”

Councilman Evan Myers said it’s not an easy issue, especially, it seems, because few residents seem to know the future plans of Penn State. With no way of knowing how many students Penn State is planning on admitting, it’s difficult to determine how much housing is needed.

The council as a whole agreed that it needed more time to review all the resident correspondence in order to have an informed discussion and make the appropriate decision.",Centre Daily Times
State College Borough Council to hear public feedback on proposed Collegiate Overlay,"State College borough residents wishing to voice their concerns or support for the proposed collegiate housing overlay zoning ordinance amendment are encouraged to attend a public hearing regarding the overlay Monday.

In discussion between the Borough Council and the Planning Commission for the past several months, the overlay proposes adding housing incentives to the east end of East College Avenue, particularly the lot on which Kildare’s Irish Pub sits.

The overlay would have the potential to alter building heights and parking spaces, allowing for taller than normally allowed buildings under the current commercial zoning. Building heights could also be increased based on incentives for development, such as adding professional housing and underground parking.

Under the proposed overlay, buildings must provide a commercial space on the first floor in order to be eligible for maximum height and floor space, according to the ordinance. These maximums include a height of seven stories and a floor area ratio of four.

A floor area ratio, or FAR, controls the total development area of a property. On a 10,000-square-foot area, a FAR of four would allow for 4,000 square feet to be developed.

Several incentives are included with the ordinance, allowing a developer to go beyond the maximums in exchange for certain amenities. For example, an additional floor of commercial space would allow for an additional floor and one FAR, and a green building — one that follows certain energy and environmental designs — would gain an additional story, one FAR and a 20 percent parking reduction.

The Planning Commission has taken input from the property owners, public and staff since July, according to the borough website. The commission has since recommended the overlay for consideration by council.

The purpose of the ordinance, according to the council, is to “incentivize the development of buildings which achieve a greater community good.” This is accomplished in part by encouraging diverse residential construction, high-quality building design and in-building parking.

Borough Council is slated to meet at 7:30 p.m. Monday on the third floor of the municipal building at 243 S. Allen St.",Centre Daily Times
